,max_depth,eta,gamma,lambda
270492004,15,0.01,0.0,0.0
164889003,10,0.1,0.25,0.0
164890007,15,0.01,0.5,0.0
426627000,15,0.01,0.25,0.0
713427006,10,0.1,0.25,1.0
713426002,15,0.01,0.5,0.0
445118002,10,0.1,0.5,10.0
39732003,10,0.1,0.25,10.0
164909002,15,0.1,0.5,10.0
251146004,10,0.1,0.5,10.0
698252002,15,0.01,0.5,0.0
10370003,10,0.1,0.0,0.0
284470004,10,0.1,0.25,10.0
427172004,15,0.01,0.5,0.0
164947007,15,0.01,0.5,0.0
111975006,15,0.01,0.0,0.0
164917005,15,0.01,0.5,0.0
47665007,15,0.01,0.5,0.0
427393009,15,0.1,0.25,0.0
426177001,15,0.1,0.25,0.0
426783006,10,0.1,0.5,0.0
427084000,15,0.1,0.25,1.0
164934002,15,0.01,0.0,0.0
59931005,15,0.01,0.25,0.0
